,CDL_FLAG,CONDITION_CODE,EQUIP_PROB_CODE,FAULT_FLAG,INJ_SEVER_CODE,PERSON_ID,PERSON_TYPE,REPORT_NO,SAF_EQUIP_CODE,SEX_CODE,VEHICLE_ID,COLLISION_TYPE_CODE,C_M_ZONE_FLAG,JUNCTION_CODE,LANE_CODE,LIGHT_CODE,RD_COND_CODE,RD_DIV_CODE,SURF_COND_CODE,WEATHER_CODE,AREA_DAMAGED_CODE_MAIN,BODY_TYPE_CODE,DAMAGE_CODE,HIT_AND_RUN_FLAG,MOVEMENT_CODE,TIME,AGE
39933,N,Apparently Normal,No Misuse,N,Non-incapacitating Injury,bdc75fe6-30da-422d-894d-58c6bc3fee63,D,ADJ7270008,Shoulder/Lap Belt(s),M,4bcfbf52-c7e1-4a1a-965c-3ac8021292ad,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-11-20 22:00,17
26426,Y,Apparently Normal,No Misuse,N,No Injury,ba881764-5535-4682-87fa-0143a8197ca6,D,MTA0287000C,Shoulder/Lap Belt(s),M,94ce1516-9a43-4003-a75f-319f5dd0ea70,Same Direction Sideswipe,N,Non Intersection,Deceleration Lane,Daylight,No Defects,One-way Trafficway,Dry,Clear,One o'clock,Transit Bus,Superficial,N,Moving Constant Speed,2015-07-11 14:07,42
40711,Y,Apparently Normal,No Misuse,N,No Injury,cda611b1-822b-43d5-b26b-4a529801d602,D,DA39250015,Shoulder Belt Only,M,873eae82-9574-4e97-bff9-384b94783280,Same Direction Rear End Right Turn,N,Non Intersection,Acceleration Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Wet,Raining,One o'clock,Transit Bus,Superficial,N,Moving Constant Speed,2015-12-02 8:45,52
13380,N,Apparently Normal,No Misuse,N,Possible Incapacitating Injury,4006ba3f-d240-4bcc-82e4-f748dd55abd9,D,AE45610018,Shoulder/Lap Belt(s),F,7b12c839-31f5-4092-b892-c3e5cdb22b20,Head On Left Turn,N,Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Twelve o'clock,Passenger Car,Superficial,N,Moving Constant Speed,2015-04-20 13:44,77
15908,N,Apparently Normal,No Misuse,N,No Injury,06b7ccd4-5e0f-434a-94ee-8dd8e638c1dd,D,DA36610007,Shoulder/Lap Belt(s),M,fb678d45-c51a-42f2-a1e6-6b7d147c9ffa,Same Direction Rear End,N,Non Intersection,Acceleration Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,Pickup Truck,Functional,N,Slowing or Stopping,2015-05-07 22:28,30
23408,N,Apparently Normal,No Misuse,N,No Injury,931f214f-95f2-4145-a176-4ffb3284ae9a,D,ADJ114000F,Shoulder/Lap Belt(s),M,68281910-bb42-42ba-acad-fd96c641c101,Head On Left Turn,N,Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Three o'clock,Van,Disabling,N,Making Left Turn,2015-08-01 13:00,37
41371,N,Apparently Normal,No Misuse,N,No Injury,8c149c10-f522-47b0-8e17-3c1270debf8f,D,ADI257000M,Shoulder/Lap Belt(s),M,f2fa544a-566b-481e-b3e2-e31aec6e6264,Same Direction Rear End,N,Intersection Related,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,Passenger Car,Functional,N,Slowing or Stopping,2015-12-05 14:40,44
30690,N,Apparently Normal,No Misuse,N,No Injury,f26127cd-a1a5-4a5c-9586-89f11c072031,D,CB5188000W,Shoulder/Lap Belt(s),M,d7dcbdfa-a0fa-466c-9a9f-367b15bebe69,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Dry,Clear,Four o'clock,Passenger Car,Superficial,N,Slowing or Stopping,2015-10-22 9:02,41
29297,N,Apparently Normal,No Misuse,N,No Injury,a4139694-05c5-4f1f-ae58-43bc0a9a4db3,D,AE4502003M,Shoulder/Lap Belt(s),F,53ac9e9b-517b-4047-8e62-b88d6a396498,Same Direction Rear End,N,Intersection Related,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Six o'clock,(Sport) Utility Vehicle,Functional,N,Stopped in Traffic Lane,2015-10-21 17:34,29
16809,N,Apparently Normal,No Misuse,Y,No Injury,894258ad-5c27-4f31-8a3e-08e2336e8ed9,D,MSP63060018,Shoulder/Lap Belt(s),M,7fb72784-602b-45a8-9595-f47431e659ff,Single Vehicle ,N,Non Intersection,Acceleration Lane,Dawn,No Defects,"Two-way, Divided, Positive Median Barrier",Wet,Raining,Twelve o'clock,Passenger Car,Destroyed,N,Moving Constant Speed,2015-06-27 6:20,64
21045,N,Apparently Normal,No Misuse,N,No Injury,f0f4be02-58af-43f3-96fb-49eb32496d15,D,MSP5847003S,Shoulder/Lap Belt(s),F,c99808a4-4f9c-40f3-92f3-aac3cd3b416b,Same Direction Rear End Left Turn,N,Non Intersection,Acceleration Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,Passenger Car,Functional,N,Moving Constant Speed,2015-09-23 8:43,37
6926,N,Apparently Normal,No Misuse,Y,No Injury,235fbdb4-5f16-4356-b66b-d51fc449fd2a,D,DA38980007,Shoulder/Lap Belt(s),M,3f877d3a-9314-4445-8306-d75af87191e2,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Dry,Clear,One o'clock,Passenger Car,Functional,N,Moving Constant Speed,2015-01-20 2:52,30
31008,N,Apparently Normal,No Misuse,Y,No Injury,665b9820-5d3e-459b-905c-752bb9c6632c,D,CC0221000H,Shoulder/Lap Belt(s),M,0dd458fb-7d3c-464d-bafe-179761f9c57a,Same Direction Right Turn,N,Non Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Dry,Clear,One o'clock,(Sport) Utility Vehicle,Superficial,N,Changing Lanes,2015-10-18 16:25,19
22265,N,Apparently Normal,No Misuse,N,No Injury,91e032bb-a192-44fd-bdf9-8561f5706b83,D,CB51900017,Shoulder/Lap Belt(s),M,6c34efb4-184e-4ed3-90d7-e189c773cf17,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,One-way Trafficway,Wet,Raining,Six o'clock,Pickup Truck,No Damage,N,Slowing or Stopping,2015-07-28 16:39,27
43768,N,Apparently Normal,No Misuse,N,Non-incapacitating Injury,e2d35b71-6dda-4745-aa5c-a94981d135d2,D,DD56150013,Shoulder/Lap Belt(s),M,8b3b01e8-1e09-4cbc-be1f-f3f9226137a3,Same Movement Angle,N,Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Wet,Cloudy,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-12-22 13:10,70
30846,N,Apparently Normal,No Misuse,N,No Injury,75b75885-5a76-4e81-ae10-e06c44e49792,D,CB5712000G,Shoulder/Lap Belt(s),F,02816f06-640f-4864-8fdf-49b875cd61be,Same Direction Right Turn,N,Non Intersection,Left Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Wet,Raining,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-12-28 19:06,21
45580,N,Apparently Normal,No Misuse,Y,No Injury,4d4cc3e1-cf96-420c-907b-61f415c5ddc4,D,MSP62260026,Shoulder/Lap Belt(s),M,a56c66c2-ea84-4c64-9c98-d7009e24ef70,Same Direction Sideswipe,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,One o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-10-27 7:53,41
24709,N,Apparently Normal,No Misuse,Y,No Injury,1609906c-46f9-4897-b22f-a1758fa7d319,D,ADJ3250008,Shoulder/Lap Belt(s),M,188e1efe-14d2-4324-89e4-9db1afc48717,Same Direction Left Turn,N,Intersection,Left Turn Lane,Dark Lights On,No Defects,One-way Trafficway,Dry,Clear,Eleven o'clock,Passenger Car,Disabling,N,Making Left Turn,2015-09-19 17:45,25
16454,N,Had Been Drinking,No Misuse,Y,No Injury,6a83c7be-7d67-4cbd-955b-7bcb2f0003fa,D,MSP5238000B,Shoulder/Lap Belt(s),M,44d2e671-741a-4357-a38e-6b3503cb287c,Same Direction Sideswipe,N,Non Intersection,Left Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Dry,Clear,One o'clock,(Sport) Utility Vehicle,Disabling,N,Moving Constant Speed,2015-04-18 0:13,37
46708,N,Apparently Normal,No Misuse,N,No Injury,648cc962-7e2f-4f5d-ba3e-76f5a089efc2,D,ZT0118000J,Shoulder/Lap Belt(s),M,4396c59c-24c5-4ba8-99d7-1a42da9c7776,Single Vehicle ,N,Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Twelve o'clock,(Sport) Utility Vehicle,Disabling,N,Moving Constant Speed,2015-11-04 9:44,61
9982,N,Apparently Normal,No Misuse,Y,No Injury,880707e8-3180-45e9-879a-9032eb43b8bb,D,AE54210009,Shoulder/Lap Belt(s),F,0619f260-62ec-4866-90ae-68fdaae3ab99,Same Direction Rear End,N,Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Wet,Raining,Twelve o'clock,Passenger Car,Superficial,N,Moving Constant Speed,2015-05-17 4:32,22
8626,N,Apparently Normal,No Misuse,Y,No Injury,5f17c140-dc63-4e20-b3f6-1c2f5225adb2,D,AC1283001Y,Shoulder/Lap Belt(s),F,51036030-fb7e-4c35-85d8-e447555e7936,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Twelve o'clock,Passenger Car,Functional,N,Accelerating,2015-05-12 10:54,17
21829,N,Apparently Normal,No Misuse,Y,No Injury,4dc38833-b801-4be3-87a1-35a408e70014,D,MTA03410001,Shoulder/Lap Belt(s),F,57f9ecd8-1da5-4130-aa3c-9b2dc52f23a1,Same Movement Angle,N,Commercial Driveway,Left Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Eleven o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-07-12 16:45,48
19294,N,Influenced by Medications and/or Drugs and/or Alcohol,No Misuse,Y,No Injury,3013b528-f23d-45ca-abab-64416e7b73f7,D,BJ0167001H,Shoulder/Lap Belt(s),F,b5e6cc0c-02a4-4197-aa17-3c93c4f4c28e,Same Direction Sideswipe,N,Intersection Related,Left Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Cloudy,Seven o'clock,Passenger Car,Superficial,N,Changing Lanes,2015-08-20 18:06,57
7483,N,Apparently Normal,No Misuse,Y,No Injury,29c0bff1-18cd-4a47-b9cd-0452ea9ba499,D,MSP58620028,Shoulder/Lap Belt(s),M,e1d5c872-4adc-4e38-abca-4d8b0f0766ee,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Wet,Raining,Twelve o'clock,Passenger Car,Superficial,Y,Moving Constant Speed,2015-02-02 10:02,24
39135,N,Apparently Normal,No Misuse,N,Possible Incapacitating Injury,bed66369-755f-4f8f-90cd-d38751472825,D,MCP0685001H,Shoulder/Lap Belt(s),F,9995ce20-05c3-48ba-a2d4-1ed978e3790c,Same Direction Rear End,N,Intersection Related,Left Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,(Sport) Utility Vehicle,Functional,N,Slowing or Stopping,2015-10-07 17:47,29
29954,N,Apparently Normal,No Misuse,Y,No Injury,a15adc9b-fd4c-40ee-b352-58b0b329cacd,D,AE5483001V,Shoulder/Lap Belt(s),F,cfd534f9-a6c4-4589-b489-522963ab7cb7,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Wet,Raining,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-12-02 17:10,21
29196,N,Apparently Normal,No Misuse,Y,No Injury,53bf21ff-aff2-4709-ac4c-10676491dc81,D,AE4268001R,Shoulder/Lap Belt(s),F,6d458c58-052b-4945-98cc-dac23989ec1a,Same Movement Angle,N,Intersection,Right Turn Lane,Dusk,No Defects,"Two-way, Not Divided",Dry,Clear,Three o'clock,Passenger Car,Disabling,N,Making Left Turn,2015-10-22 18:40,25
14304,N,Apparently Normal,No Misuse,N,No Injury,d71f9560-0b20-48c6-89f3-0c117a05c184,D,BS0491000H,Shoulder/Lap Belt(s),M,2c5993c1-31e8-4fcd-9408-91f8c127abde,Head On,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Dry,Clear,Twelve o'clock,Passenger Car,Superficial,N,Slowing or Stopping,2015-04-12 21:58,46
5998,N,Apparently Normal,No Misuse,Y,No Injury,9c2e7597-c615-484a-8437-7c6fd4bab5be,D,ADH5040005,Shoulder/Lap Belt(s),M,f288dfdc-c29a-458b-93ff-54d67841c4d9,Same Direction Right Turn,N,Non Intersection,Left Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,One o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-03-17 2:09,20
17298,N,Apparently Normal,No Misuse,Y,Possible Incapacitating Injury,ed88732a-0d1e-4c9a-92ae-951c50ae555e,D,MSP5845000V,Shoulder/Lap Belt(s),M,a75276ad-87f1-40ae-9c03-4538e4b95239,Single Vehicle ,N,Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Dry,Clear,Underside,Passenger Car,Disabling,N,Moving Constant Speed,2015-06-27 0:00,21
28653,N,Apparently Normal,No Misuse,N,No Injury,2e0a8b04-698b-4111-9ce0-8909cee2e1d2,D,ADJ375000Y,Shoulder/Lap Belt(s),F,0f03d8fb-d422-45c3-a556-545545a91843,Same Movement Angle,N,Non Intersection,Right Turn Lane,Dark Lights On,No Defects,"Two-way, Not Divided",Dry,Clear,Four o'clock,Passenger Car,Superficial,N,Entering Traffic Lane,2015-10-23 20:45,61
40624,N,Apparently Normal,No Misuse,N,No Injury,0432a2cb-db2b-4099-a142-f3c8b4b6e2ee,D,CNC3152000P,Shoulder/Lap Belt(s),M,9ea2c5a0-fa18-475d-9a35-7c2eede57c74,Same Movement Angle,N,Intersection,Acceleration Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Eleven o'clock,Pickup Truck,Disabling,N,Making Right Turn,2015-12-16 17:40,25
42452,N,Apparently Normal,No Misuse,N,No Injury,52b50a0a-5498-45fe-b8af-d5c02f2bc150,D,ADJ625001K,Shoulder/Lap Belt(s),M,da45e3d8-190e-43e3-a955-9d4cb39471e0,Same Direction Rear End,N,Intersection,Left Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,Pickup Truck,Superficial,N,Stopped in Traffic Lane,2015-11-17 20:25,52
35898,N,Fatigued Fainted,No Misuse,Y,Non-incapacitating Injury,bc6b9143-aad7-4158-8efb-24968c8b7a65,D,MSP6469001X,Shoulder/Lap Belt(s),F,31edc68e-f0d8-44f7-ba53-c1765fb627f7,Opposite Direction Sideswipe,N,Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-10-31 13:18,32
20809,N,Apparently Normal,No Misuse,Y,No Injury,dd6f6a49-d89b-4df4-b664-5a26595a841c,D,MSP50930036,Shoulder/Lap Belt(s),M,662a96e6-45ae-47f9-a848-6187d33a70dd,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Twelve o'clock,Passenger Car,Functional,N,Moving Constant Speed,2015-08-14 16:06,19
3083,N,Apparently Normal,No Misuse,N,No Injury,57c2ac8f-36dc-4a0d-967f-efb89f0c2ac2,D,MSP6051002C,Shoulder/Lap Belt(s),F,3afb4d53-610e-4e0e-a07b-021b72cd346e,Same Direction Rear End,N,Non Intersection,Acceleration Lane,Dark - Unknown Lighting,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,Passenger Car,Functional,N,Slowing or Stopping,2015-02-12 5:56,49
46090,N,Apparently Normal,No Misuse,N,No Injury,0a533b90-963e-48b1-ba86-37307e8e869e,D,MSP64970024,Shoulder/Lap Belt(s),M,3a3e0b35-b979-44a0-9340-5a66e9e1cfee,Single Vehicle ,N,Non Intersection,Deceleration Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Wet,Clear,Twelve o'clock,Recreational Vehicle,Disabling,N,Moving Constant Speed,2015-10-03 14:57,58
7676,N,Apparently Normal,No Misuse,Y,No Injury,8d443941-68db-4479-96d6-ca968d0fb1b4,D,MSP62780032,Shoulder/Lap Belt(s),M,db0634f2-05e0-4b23-8c5f-ea4e0f644f19,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Wet,Clear,Two o'clock,(Sport) Utility Vehicle,Destroyed,N,Moving Constant Speed,2015-01-04 13:30,23
9626,N,Apparently Normal,No Misuse,Y,No Injury,cb4109eb-d6a8-434f-9a7b-493374f9357b,D,ADJ579000Q,Shoulder/Lap Belt(s),F,9a05e456-92a0-4501-bde1-277969d5d0e4,Same Movement Angle,N,Non Intersection,Right Turn Lane,Daylight,No Defects,One-way Trafficway,Dry,Clear,Twelve o'clock,Passenger Car,Functional,N,Accelerating,2015-06-30 18:00,28
37308,N,Apparently Normal,No Misuse,Y,No Injury,54717646-66ff-4589-8a85-86067ee67a37,D,ZR0296000X,Shoulder/Lap Belt(s),F,f56f156c-a37a-4897-afe2-7d6a136bc1c5,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Twelve o'clock,(Sport) Utility Vehicle,Functional,N,Moving Constant Speed,2015-10-21 8:44,38
17362,N,Apparently Normal,No Misuse,Y,Incapacitating/Disabled Injury,394dde09-f60f-4110-87cc-c82951808643,D,MSP63150051,MC/Bike Helmet,M,38c0e480-ce05-49bf-9320-ea4adaa9a245,Single Vehicle ,N,Non Intersection,Deceleration Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Nine o'clock,Motorcycle,Disabling,N,Negotiating a Curve,2015-05-25 17:05,33
45063,N,Apparently Normal,No Misuse,N,No Injury,3a309886-f172-40c2-b545-d4cba9c71791,D,MSP58160019,Shoulder/Lap Belt(s),M,d5ce4b42-e0d5-4cda-9d18-41e9afbebbca,Single Vehicle ,N,Non Intersection,Left Turn Lane,Dark No Lights,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Twelve o'clock,(Sport) Utility Vehicle,Disabling,N,Moving Constant Speed,2015-11-08 18:14,42
26968,N,Influenced by Medications and/or Drugs and/or Alcohol,No Misuse,Y,No Injury,4408b599-3dbf-4de8-9950-66ff9e20ea73,D,DA3711000S,Shoulder/Lap Belt(s),M,7d3707e4-e61a-4218-bf02-11848e4684ef,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Dry,Clear,One o'clock,"Other Light Trucks (10,000 lbs (4,536 kg))",Disabling,Y,Moving Constant Speed,2015-08-11 18:54,30
9059,N,Apparently Normal,No Misuse,N,No Injury,48066866-d379-4b05-82e2-8561984fb65c,D,ADH4470008,Shoulder/Lap Belt(s),F,abc8eafb-d774-496f-b47c-01da71268ac5,Same Movement Angle,N,Intersection,Right Turn Lane,Daylight,No Defects,One-way Trafficway,Dry,Clear,One o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-05-12 7:55,31
29252,N,Apparently Normal,No Misuse,N,No Injury,4c582a22-4fb3-42ce-b87f-a8013baee9c3,D,AE43740012,Shoulder/Lap Belt(s),F,24237dec-aab7-42c1-98a4-b1faf33bc229,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Six o'clock,Passenger Car,Superficial,N,Stopped in Traffic Lane,2015-12-20 11:00,74
34774,N,Apparently Normal,No Misuse,N,No Injury,85c9ca2f-dc12-4362-b963-db6c4a1c748c,D,MSP6057001L,Shoulder/Lap Belt(s),M,e1a33be3-52ef-476d-82b9-f1dc8bc916cc,Same Direction Rear End,Y,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Seven o'clock,Passenger Car,Superficial,N,Slowing or Stopping,2015-10-12 9:16,33
34607,N,Apparently Normal,No Misuse,Y,No Injury,d4f0fb55-b122-415c-b839-ab5130dd868a,D,MSP59950021,Shoulder/Lap Belt(s),M,d45b37b0-cf6c-4dc4-a838-cab06d464751,Same Direction Rear End,N,Intersection,Right Turn Lane,Dark No Lights,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-11-24 17:33,67
11715,N,Apparently Normal,No Misuse,N,No Injury,1e93f1ee-cc9d-4259-be71-1121fc9c0b49,D,MSP5516002Z,Shoulder/Lap Belt(s),F,a8157837-be4a-4066-a55d-7e912dba74cf,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,(Sport) Utility Vehicle,Disabling,N,Slowing or Stopping,2015-04-18 11:54,50
